,MovieTitle,MovieDate,MovieRunTime,MovieGenre,MovieRating,MovieScore,MovieDescription,MovieDirector,MovieStars,MovieVotes,MovieGross
437,Truth Be Told,2019– ,45,"['Crime', ' Drama', ' Mystery']",7.1,,A true-crime podcaster tries to solve the mystery surrounding a family patriarch's death.,,"['Stars:Octavia Spencer', 'Mekhi Phifer', 'Ron Cephas Jones', 'Tracie Thoms']","14,655",
438,Fleabag,2016–2019,27,"['Comedy', ' Drama']",8.7,,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.,,"['Stars:Phoebe Waller-Bridge', 'Sian Clifford', 'Olivia Colman', 'Jenny Rainsford']","166,467",
439,Raiders of the Lost Ark,1981,115,"['Action', ' Adventure']",8.4,,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.",Steven Spielberg,"['Harrison Ford', 'Karen Allen', 'Paul Freeman', 'John Rhys-Davies']","976,393",$248.16M
440,1899,2022,60,"['Drama', ' Horror', ' Mystery']",7.4,,Multinational immigrants traveling from the old continent to the new encounter a nightmarish riddle aboard a second ship adrift on the open sea.,,"['Stars:Emily Beecham', 'Aneurin Barnard', 'Andreas Pietschmann', 'Miguel Bernardeau']","93,092",
441,Schindler's List,1993,195,"['Biography', ' Drama', ' History']",9.0,,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg,"['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley', 'Caroline Goodall']","1,369,494",$96.90M
442,The Watchful Eye,2023– ,44,"['Drama', ' Mystery', ' Thriller']",6.2,,It is based on a young woman who is thrust into a world of old money and deadly secrets.,,"['Stars:Mariel Molino', 'Warren Christie', 'Amy Acker', 'Jon-Michael Ecker']",940,
443,Fifty Shades of Grey,2015,125,"['Drama', ' Romance', ' Thriller']",4.2,46,"Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.",Sam Taylor-Johnson,"['Dakota Johnson', 'Jamie Dornan', 'Jennifer Ehle', 'Eloise Mumford']","323,849",$166.17M
444,Entrevías,2021– ,79,"['Action', ' Adventure', ' Crime']",6.8,,"When his teenage granddaughter falls victim to the drug dealers overtaking his neighborhood, a fed-up war veteran takes matters into his own hands.",,"['Stars:Jose Coronado', 'Nona Sobo', 'Felipe Londoño', 'Laura Ramos']","2,633",
445,The Suicide Squad,2021,132,"['Action', ' Adventure', ' Comedy']",7.2,,"Supervillains Harley Quinn, Bloodsport, Peacemaker, and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",James Gunn,"['Margot Robbie', 'Idris Elba', 'John Cena', 'Joel Kinnaman']","362,060",$55.82M
446,The Watcher,2022– ,332,"['Drama', ' Horror', ' Mystery']",6.5,,"A married couple moving into their dream home are threatened by terrifying letters from a stalker, signed - ""The Watcher.""",,"['Stars:Naomi Watts', 'Bobby Cannavale', 'Mia Farrow', 'Terry Kinney']","66,596",
